date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:23	28315/28315	---M--	200	added ('OK')	text/html	date:Wed,%2017%20Apr%202024%2007:54:22%20GMT	https://www.samartheng.com/	C:/My%20Web%20Sites/samm/www.samartheng.com/index.html	(from )
13:24:23	103/103	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Apr%202024%2007:54:21%20GMT	https://www.samartheng.com/robots.txt		(from )
13:24:24	167020/167020	---M--	200	added ('OK')	text/css	etag:%22e2dc1155fe3bd61:0%22	https://www.samartheng.com/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://www.samartheng.com/)
13:24:24	37438/37438	---M--	200	added ('OK')	text/css	etag:%229d902a44fe3bd61:0%22	https://www.samartheng.com/assets/css/font-awesome.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/css/font-awesome.css	(from https://www.samartheng.com/)
13:24:25	5968/5968	---M--	200	added ('OK')	text/css	etag:%226b336654fe3bd61:0%22	https://www.samartheng.com/assets/plugins/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/plugins/owl-carousel/owl.carousel.css	(from https://www.samartheng.com/)
13:24:25	1665/1665	---M--	200	added ('OK')	text/css	etag:%22e5318554fe3bd61:0%22	https://www.samartheng.com/assets/plugins/owl-carousel/owl.theme.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/plugins/owl-carousel/owl.theme.css	(from https://www.samartheng.com/)
13:24:26	4476/4476	---M--	200	added ('OK')	text/css	etag:%22fe7f9354fe3bd61:0%22	https://www.samartheng.com/assets/plugins/owl-carousel/owl.transitions.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/plugins/owl-carousel/owl.transitions.css	(from https://www.samartheng.com/)
13:24:26	7789/7789	---M--	200	added ('OK')	text/css	etag:%22ab788853fe3bd61:0%22	https://www.samartheng.com/assets/plugins/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/plugins/magnific-popup/magnific-popup.css	(from https://www.samartheng.com/)
13:24:27	27518/27518	---M--	200	added ('OK')	text/css	etag:%22c8dcd042fe3bd61:0%22	https://www.samartheng.com/assets/css/animate.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/css/animate.css	(from https://www.samartheng.com/)
13:24:27	1872/1872	---M--	200	added ('OK')	text/css	etag:%22fa61dd44fe3bd61:0%22	https://www.samartheng.com/assets/css/superslides.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/css/superslides.css	(from https://www.samartheng.com/)
13:24:28	73717/73717	---M--	200	added ('OK')	text/css	etag:%227950b5ffe3bd61:0%22	https://www.samartheng.com/assets/plugins/slider.revolution.v4/css/settings.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/plugins/slider.revolution.v4/css/settings.css	(from https://www.samartheng.com/)
13:24:28	66456/66456	---M--	200	added ('OK')	text/css	etag:%22932f944fe3bd61:0%22	https://www.samartheng.com/assets/css/essentials.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/css/essentials.css	(from https://www.samartheng.com/)
13:24:29	36620/36620	---M--	200	added ('OK')	text/css	etag:%22f18e6844fe3bd61:0%22	https://www.samartheng.com/assets/css/layout.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/css/layout.css	(from https://www.samartheng.com/)
13:24:29	10575/10575	---M--	200	added ('OK')	text/css	etag:%22ceb73144fe3bd61:0%22	https://www.samartheng.com/assets/css/layout-responsive.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/css/layout-responsive.css	(from https://www.samartheng.com/)
13:24:30	5668/5668	---M--	200	added ('OK')	text/css	etag:%22c7ad14cfe3bd61:0%22	https://www.samartheng.com/assets/css/color_scheme/orange.css	C:/My%20Web%20Sites/samm/www.samartheng.com/assets/css/color_scheme/orange.css	(from https://www.samartheng.com/)
